กก	gok
ทดแทน	thot.thɛ:n
ทน	thon
ทนทาน	thon.tha:n
ทบทวน	thop.thu:an
ทอง	thɔ:ŋ
ทอด	thɔ:t
ทอน	thɔ:n
ทอละมาน	thɔ.la.ma:n
ทะนาคาน	tha.na:.kha:n
ทะวีบ	tha.vi:p
ทะหาน	tha.ha:n
ทะเล	tha.le:
ทะเลาะวิวาท	tha.lɔ.wi.wa:t
ทักทาย	thak.tha:i
ทัน	than
ทันที	than.ti:
ทันวาคม	than.wa:.khom
ทันเวลา	than.we:.la:
ทันได้	than.dai
ทับ	thap
ทัพพี	thap.phi:
ทัมมะซาด	tham.ma.sa:t
ทัมมะดา	tham.ma.da:
ทั่น	than
ทั่ว	thu:a
ทั้งหลาย	thaŋ.la:i
ทา	tha:
ทาง	tha:ŋ
ทางหน้า	tha:ŋ.na:
ทางหลัง	tha:ŋ.laŋ
ทางเลี้ยว	tha:ŋ.li:ao
ทางแย้ก	tha:ŋ.yɛ:k
ทาน	tha:n
ทำ	tham
ทำความสะอาด	tham.khwa:m.sa.a:t
ทำงาน	tham.ŋa:n
ทำนอง	tham.nɔ:ŋ
ทำบุน	tham.bun
ทำล้าย	tham.la:i
ทิด	thit
ทีบ	thi:p
ทีละ	thi:.la
ทีหลัง	thi:.laŋ
ที่	thi:
ที่ดิน	thi:.din
ที่สุด	thi:.sut
ที่อยู่อาสัย	thi:.yu:.a:.sai
ที้ลี้	thi:.li:
ทุก	thuk
ทุละ	thu.la
ทุละกิด	thu.la.git
ทุ่ง	thuŋ
ทุ้ม	thum
ทูบ	thu:p
ท่วน	thu:an
ท่อ	thɔ:
ท่อน	thɔn
ท่อนไม้	thɔn.mai
ท่า	tha:
ท่าทาง	tha:.tha:ŋ
ท่าเทบพะบุด	tha:.the:p.pha.but
ท้อง	thɔ:ŋ
ท้องถะหนน	thɔ:ŋ.tha.non
ท้องฟ้า	thɔ:ŋ.fa:
ท้องเสีย	thɔ:ŋ.si:a
ท้อน	thɔ:n
ท้าย	tha:i
นก	nok
นม	nom
นวน	nu:an
นอก	nɔ:k
นอกจาก	nɔ:k.ja:k
